Constructor ,Nationality,Races Entered,Seasons Competed,No Starts,% No Start ,Engine Builders,% Engines (E per Season),Drivers,% Drivers per race,Models,% Models per season,Wins,% Wins per race,Podiums,% Podiums per race,Pole Positions,% Pole per race,1-2 Finishes,% 1-2 per race,Fastest Laps,% Fastest lap per race,Nominal Points,% nominal Points per race,Standardised Points,% Standard points per race,Km raced,Km led,% Km led,Average Start Position,Average Finishing position,Activity
Iso Marlboro,Italy,30,2,9,0.3,1,0.5,13,0.433333333,3,1.5,0,0,0,0,0,0,0,0,0,0,6,0.2,64,2.133333333,10037,0,0,17.64,9.52,Inactive
BRP,United Kingdom,13,3,6,0.461538462,2,0.666666667,3,0.230769231,2,0.666666667,0,0,0,0,0,0,0,0,0,0,11,0.846153846,61,4.692307692,4476,0,0,12.11,7.2,Inactive
Zakspeed,Germany,53,5,54,1.018867925,2,0.4,7,0.132075472,5,1,0,0,0,0,0,0,0,0,0,0,2,0.037735849,52,0.981132075,13635,0,0,20.44,10.04,Inactive
AGS,France,47,6,79,1.680851064,2,0.333333333,10,0.212765957,8,1.333333333,0,0,0,0,0,0,0,0,0,0,2,0.042553191,44,0.936170213,9217,0,0,21.33,10.23,Inactive
Parnelli,United Kingdom,16,3,0,0,1,0.333333333,1,0.0625,2,0.666666667,0,0,0,0,0,0,0,0,1,0.0625,6,0.375,42,2.625,2781,38,0.01366415,12,8.5,Inactive
HWM,United Kingdom,14,5,5,0.357142857,1,0.2,15,1.071428571,3,0.6,0,0,0,0,0,0,0,0,0,0,2,0.142857143,38,2.714285714,10408,0,0,16.14,10.28,Inactive
Simca,France,14,4,12,0.857142857,1,0.25,14,1,2,0.5,0,0,0,0,0,0,0,0,0,0,5,0.357142857,38,2.714285714,5914,0,0,14.46,8.62,Inactive
Lancia,Italy,4,2,4,1,1,0.5,6,1.5,1,0.5,0,0,1,0.25,2,0.5,0,0,1,0.25,9,2.25,36,9,1705,95,0.055718475,6.42,4.33,Inactive
Onyx,United Kingdom,16,2,25,1.5625,1,0.5,4,0.25,2,1,0,0,1,0.0625,0,0,0,0,0,0,6,0.375,35,2.1875,4484,0,0,20.17,9.28,Inactive
Rial,Germany,20,2,28,1.4,1,0.5,6,0.3,2,1,0,0,0,0,0,0,0,0,0,0,6,0.3,35,1.75,3892,0,0,16.65,9.11,Inactive
Theodore,United Kingdom,33,4,23,0.696969697,1,0.25,10,0.303030303,4,1,0,0,0,0,0,0,0,0,0,0,2,0.060606061,30,0.909090909,8309,0,0,20.7,11.05,Inactive
